;key;value;function;total;size
34;27;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""27""}";6372656174654465004173736574;"27{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""27""}";72
35;28;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""28""}";6372656174654465004173736574;"28{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""28""}";72
36;29;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""29""}";6372656174654465004173736574;"29{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""29""}";72
37;30;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""30""}";6372656174654465004173736574;"30{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""30""}";72
38;31;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""31""}";6372656174654465004173736574;"31{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""31""}";72
39;32;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""32""}";6372656174654465004173736574;"32{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""32""}";72
40;33;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""33""}";6372656174654465004173736574;"33{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""33""}";72
41;34;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""34""}";6372656174654465004173736574;"34{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""34""}";72
42;35;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""35""}";6372656174654465004173736574;"35{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""35""}";72
43;36;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""36""}";6372656174654465004173736574;"36{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""36""}";72
44;37;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""37""}";6372656174654465004173736574;"37{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""37""}";72
45;38;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""38""}";6372656174654465004173736574;"38{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""38""}";72
46;39;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""39""}";6372656174654465004173736574;"39{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""39""}";72
