;chaincodename;key;value;function;total;size
18;micro;|DEMOASSET|10|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|10|pocket1|100000.0;30
18;micro;|DEMOASSET|10|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|10|pocket2|100000.0;30
18;micro;|DEMOASSET|10|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|10|pocket3|100000.0;30
19;micro;|DEMOASSET|14|;"{""uuid"":""14"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|14|{""uuid"":""14"",""type"":""DemoAsset""}";46
19;micro;|DEMOASSET|14|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|14|pocket1|100000.0;30
19;micro;|DEMOASSET|14|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|14|pocket2|100000.0;30
19;micro;|DEMOASSET|14|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|14|pocket3|100000.0;30
20;micro;|DEMOASSET|12|;"{""uuid"":""12"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|12|{""uuid"":""12"",""type"":""DemoAsset""}";46
20;micro;|DEMOASSET|12|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|12|pocket1|100000.0;30
20;micro;|DEMOASSET|12|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|12|pocket2|100000.0;30
20;micro;|DEMOASSET|12|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|12|pocket3|100000.0;30
21;micro;|DEMOASSET|13|;"{""uuid"":""13"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|13|{""uuid"":""13"",""type"":""DemoAsset""}";46
21;micro;|DEMOASSET|13|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|13|pocket1|100000.0;30
21;micro;|DEMOASSET|13|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|13|pocket2|100000.0;30
21;micro;|DEMOASSET|13|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|13|pocket3|100000.0;30
22;micro;|DEMOASSET|17|;"{""uuid"":""17"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|17|{""uuid"":""17"",""type"":""DemoAsset""}";46
22;micro;|DEMOASSET|17|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|17|pocket1|100000.0;30
22;micro;|DEMOASSET|17|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|17|pocket2|100000.0;30
22;micro;|DEMOASSET|17|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|17|pocket3|100000.0;30
23;micro;|DEMOASSET|15|;"{""uuid"":""15"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|15|{""uuid"":""15"",""type"":""DemoAsset""}";46
23;micro;|DEMOASSET|15|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|15|pocket1|100000.0;30
23;micro;|DEMOASSET|15|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|15|pocket2|100000.0;30
23;micro;|DEMOASSET|15|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|15|pocket3|100000.0;30
24;micro;|DEMOASSET|16|;"{""uuid"":""16"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|16|{""uuid"":""16"",""type"":""DemoAsset""}";46
24;micro;|DEMOASSET|16|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|16|pocket1|100000.0;30
24;micro;|DEMOASSET|16|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|16|pocket2|100000.0;30
24;micro;|DEMOASSET|16|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|16|pocket3|100000.0;30
