;chaincodename;key;value;function;total;size
2792;micro-aff;|DEMOASSET|339|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|339|pocket1|100000.0;31
2793;micro-aff;|DEMOASSET|386|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|386|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2794;micro-aff;|DEMOASSET|370|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|370|pocket1|100000.0;31
2795;micro-aff;|DEMOASSET|382|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|382|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2796;micro-aff;|DEMOASSET|335|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|335|pocket1|100000.0;31
2797;micro-aff;|DEMOASSET|340|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|340|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2798;micro-aff;|DEMOASSET|309|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|309|pocket1|100000.0;31
2799;micro-aff;|DEMOASSET|243|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|243|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2800;micro-aff;|DEMOASSET|226|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|226|pocket1|100000.0;31
2801;micro-aff;|DEMOASSET|290|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|290|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2802;micro-aff;|DEMOASSET|365|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|365|pocket1|100000.0;31
2803;micro-aff;|DEMOASSET|315|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|315|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2804;micro-aff;|DEMOASSET|208|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|208|pocket1|100000.0;31
2805;micro-aff;|DEMOASSET|247|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|247|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2806;micro-aff;|DEMOASSET|352|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|352|pocket1|100000.0;31
2807;micro-aff;|DEMOASSET|334|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|334|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2808;micro-aff;|DEMOASSET|289|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|289|pocket1|100000.0;31
2809;micro-aff;|DEMOASSET|376|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|376|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2810;micro-aff;|DEMOASSET|391|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|391|pocket1|100000.0;31
2811;micro-aff;|DEMOASSET|233|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|233|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2812;micro-aff;|DEMOASSET|279|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|279|pocket1|100000.0;31
2813;micro-aff;|DEMOASSET|302|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|302|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2814;micro-aff;|DEMOASSET|273|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|273|pocket1|100000.0;31
2815;micro-aff;|DEMOASSET|325|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|325|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2816;micro-aff;|DEMOASSET|216|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|216|pocket1|100000.0;31
2817;micro-aff;|DEMOASSET|214|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|214|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2818;micro-aff;|DEMOASSET|318|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|318|pocket1|100000.0;31
2819;micro-aff;|DEMOASSET|360|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|360|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2820;micro-aff;|DEMOASSET|389|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|389|pocket1|100000.0;31
2821;micro-aff;|DEMOASSET|295|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|295|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2822;micro-aff;|DEMOASSET|346|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|346|pocket1|100000.0;31
2823;micro-aff;|DEMOASSET|315|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|315|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2824;micro-aff;|DEMOASSET|222|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|222|pocket1|100000.0;31
2825;micro-aff;|DEMOASSET|289|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|289|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2826;micro-aff;|DEMOASSET|322|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|322|pocket1|100000.0;31
2827;micro-aff;|DEMOASSET|328|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|328|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2828;micro-aff;|DEMOASSET|398|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|398|pocket1|100000.0;31
2829;micro-aff;|DEMOASSET|297|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|297|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2830;micro-aff;|DEMOASSET|365|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|365|pocket1|100000.0;31
2831;micro-aff;|DEMOASSET|337|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|337|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2832;micro-aff;|DEMOASSET|359|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|359|pocket1|100000.0;31
2833;micro-aff;|DEMOASSET|337|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|337|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2834;micro-aff;|DEMOASSET|304|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|304|pocket1|100000.0;31
2835;micro-aff;|DEMOASSET|278|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|278|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2836;micro-aff;|DEMOASSET|210|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|210|pocket1|100000.0;31
2837;micro-aff;|DEMOASSET|272|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|272|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2838;micro-aff;|DEMOASSET|202|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|202|pocket1|100000.0;31
2839;micro-aff;|DEMOASSET|273|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|273|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2840;micro-aff;|DEMOASSET|336|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|336|pocket1|100000.0;31
